Code	 Mean_FD_Power	 Max_FD_Power	 Mean_FD_Jenkinson	 Max_FD_Jenkinson	 Num_above_0,2_Power	 Num_above_0,5_Power	 Num_above_0,2_Jenkinson	 Num_above_0,5_Jenkinson	 Mean_Relative_Displacement	 Max_Relative_Displacement	 Point_above_0,1mm	 Mean_Relative_Rotation	 Mean_Relative_MaxDisp	 Max_Relative_MaxDisp	 Max_Abs_MaxDisp	 Max_Relative_Roll	 Max_Relative_Pitch	 Max_Relative_Yaw	 Max_Relative_dS-I	 Max_Relative_dL-R	 Max_Relative_dP-A	Mean_Relative_Roll	 Mean_Relative_Pitch	 Mean_Relative_Yaw	 Mean_Relative_dS-I	 Mean_Relative_dL-R	 Mean_Relative_dP-A	 Max_Abs_Roll	 Max_Abs_Pitch	 Max_Abs_Yaw	 Max_Abs_dS-I	 Max_Abs_dL-R	 Max_Abs_dP-A	Mean_Abs_Roll	 Mean_Abs_Pitch	 Mean_Abs_Yaw	 Mean_Abs_dS-I	 Mean_Abs_dL-R	 Mean_Abs_dP-A
332	0.058	0.396	0.03	0.208	1	0	1	0	0.012	0.056	0	0.006	-0.001	0.146	1.561	0.0602	0.1084	0.0527	0.1162	0.0572	0.1189	0.004254	-0.002747	0.003071	0.002897	0.003982	0.000066	0.4775	0.5069	0.556	0.1543	0.5034	0.0972	0.006914	0.087665	0.120581	-0.089067	0.043854	-0.022775
333	0.09	0.424	0.054	0.317	19	0	6	0	0.019	0.102	1	0.008	0.001	0.298	2.531	0.0443	0.1514	0.0397	0.1021	0.0527	0.3003	-0.001217	0.00937	-0.000335	-0.00745	-0.001093	-0.002463	0.1203	0.9924	0.0936	0.6765	0.1471	0.3675	-0.020041	0.063014	0.004124	-0.051931	0.003709	-0.021289
334	0.092	0.464	0.056	0.279	13	0	6	0	0.027	0.233	4	0.009	0.004	0.268	1.73	0.0378	0.1342	0.0505	0.1818	0.0473	0.2499	0.000003	-0.004243	0.002322	0.005045	0.00118	0.002523	0.111	0.6406	0.2589	0.6263	0.1277	0.3029	0.01347	-0.043553	-0.00507	-0.042406	-0.024517	-0.017566
335	0.099	0.645	0.051	0.309	8	1	2	0	0.022	0.191	3	0.011	-0.003	0.546	2.018	0.0669	0.2758	0.1494	0.2185	0.0435	0.0842	-0.003419	0.00659	0.000764	0.00099	-0.000972	0.000118	0.3746	1.0301	0.0977	0.2611	0.09	0.0628	-0.06886	0.029902	-0.04006	0.037831	-0.049054	-0.00199
336	0.131	0.827	0.063	0.427	27	5	6	0	0.037	0.242	11	0.012	-0.005	0.606	1.499	0.1077	0.246	0.0864	0.258	0.1043	0.3301	-0.000654	-0.000821	0.001697	0.00538	-0.000032	-0.000217	0.1491	0.4371	0.2625	0.2052	0.1828	0.199	0.057041	0.147957	0.077757	-0.217342	0.060886	0.011017
337	0.102	1.445	0.056	0.848	13	6	7	2	0.024	0.36	5	0.012	-0.009	1.352	2.58	0.1196	0.7757	0.0783	0.479	0.0965	0.1106	0.000723	0.005972	-0.003401	-0.003466	0.000839	-0.002419	0.151	0.2863	0.4745	0.7996	0.0792	0.2854	0.021401	-0.199933	0.038966	0.217741	-0.068693	0.008088
338	0.093	0.229	0.05	0.117	4	0	0	0	0.018	0.066	0	0.008	0	0.142	0.53	0.0417	0.0902	0.041	0.064	0.0574	0.0818	-0.000856	0.000164	-0.00116	0.000817	-0.002237	-0.001063	0.083	0.0701	0.122	0.1859	0.2034	0.1402	0.001668	-0.03481	0.006065	0.03593	0.003906	0.007368
339	0.073	0.256	0.034	0.122	4	0	0	0	0.015	0.1	0	0.011	-0.008	0.26	3.887	0.0391	0.1184	0.1088	0.0935	0.0445	0.0446	-0.000042	0.011355	-0.011866	-0.006145	-0.00763	-0.005665	0.2163	0.954	1.4628	0.8826	0.9133	0.6985	0.031971	-0.148749	0.048058	0.091394	-0.014574	0.037151
340	0.078	0.216	0.041	0.134	2	0	0	0	0.017	0.075	0	0.008	0	0.163	0.504	0.026	0.0785	0.03	0.0779	0.05	0.1281	0.000502	-0.000815	0.000461	-0.000956	0.000272	-0.000374	0.0655	0.1061	0.0383	0.3127	0.0083	0.1548	-0.000528	-0.03983	-0.014403	0.080006	-0.023388	0.025589
341	0.042	0.235	0.022	0.112	1	0	0	0	0.01	0.12	1	0.004	0.001	0.211	0.628	0.0474	0.0713	0.0293	0.1246	0.0246	0.0507	-0.00004	0.001402	-0.000843	0.00063	-0.00045	-0.000045	0.1269	0.2641	0.0974	0.1003	0.0804	0.0726	0.039282	-0.036654	0.003782	-0.009634	0.006574	-0.002102
342	0.058	0.283	0.031	0.173	5	0	0	0	0.014	0.094	0	0.005	-0.002	0.173	0.904	0.0348	0.1198	0.0443	0.1093	0.0346	0.1035	-0.001103	-0.001098	-0.001022	0.001121	-0.000806	-0.000597	0.2293	0.2922	0.1423	0.101	0.1753	0.1398	0.023093	0.085228	-0.003335	-0.06263	0.021349	-0.021437
343	0.098	0.778	0.048	0.429	21	4	7	0	0.024	0.361	9	0.01	-0.003	0.694	1.223	0.0865	0.3795	0.0725	0.4668	0.0962	0.3622	-0.001713	0.002842	-0.000614	0.000086	-0.000327	-0.000769	0.398	0.3102	0.0618	0.2145	0.0748	0.3699	0.039882	-0.175681	-0.043346	0.048709	-0.026728	0.045836
344	0.057	0.132	0.028	0.063	0	0	0	0	0.011	0.043	0	0.005	-0.002	0.133	1.497	0.0392	0.0631	0.0211	0.0608	0.0288	0.0489	-0.000763	0.005655	-0.000705	-0.002318	-0.000808	-0.002529	0.1147	0.3745	0.0741	0.2797	0.1059	0.3083	-0.020495	-0.061317	-0.012552	-0.00074	-0.013822	0.035947
345	0.113	0.656	0.055	0.272	13	4	4	0	0.031	0.293	10	0.01	0	0.599	1.689	0.113	0.2759	0.0494	0.32	0.0395	0.1461	-0.000461	0.004581	-0.002122	-0.003255	-0.001251	-0.001217	0.0829	0.6725	0.2508	0.5419	0.1195	0.174	-0.005361	-0.005147	0.019556	0.028684	-0.017864	0.005991
347	0.067	0.717	0.035	0.31	7	1	1	0	0.015	0.111	2	0.007	-0.007	0.398	2.42	0.1018	0.1343	0.0484	0.2534	0.1035	0.1601	-0.003376	0.00661	-0.000397	-0.004047	-0.002333	-0.002455	0.5439	0.3967	0.0597	0.5029	0.3342	0.3126	0.05724	-0.094963	-0.048964	0.028454	0.037891	0.026732
348	0.094	0.319	0.051	0.149	8	0	0	0	0.031	0.134	3	0.008	-0.004	0.222	1.135	0.0334	0.0793	0.0301	0.1565	0.0514	0.1073	0.001821	-0.002175	-0.001396	0.001644	-0.000287	0.001208	0.1703	0.3708	0.2051	0.0033	0.0869	0.0883	-0.018693	0.093869	0.031024	-0.163957	0.006745	-0.035465
349	0.123	0.886	0.072	0.533	15	4	8	1	0.043	0.249	17	0.011	0.002	0.548	2.425	0.0788	0.5672	0.0714	0.2839	0.0739	0.1146	0.003091	0.008382	-0.001693	0.007374	-0.00024	-0.004841	0.3162	1.1901	0.213	0.9457	0.0211	0.5109	-0.001241	0.002287	-0.019779	0.185329	-0.077039	0.000973
350	0.078	0.484	0.039	0.191	10	0	0	0	0.017	0.137	2	0.009	0.001	0.257	1.05	0.0958	0.1486	0.0341	0.1628	0.0638	0.0926	-0.002052	0.000773	-0.001631	-0.003924	-0.000931	-0.000526	0.2967	0.3585	0.0969	0.4436	0.1401	0.0572	0.030241	0.100108	-0.038745	0.025288	0.014987	-0.012486
401	0.131	0.565	0.062	0.284	24	1	2	0	0.032	0.196	3	0.014	0	0.428	1.78	0.1324	0.188	0.1437	0.1974	0.0547	0.279	-0.001553	0.006982	-0.003159	-0.004518	-0.002429	-0.002425	0.3752	0.7503	0.2647	0.4629	0.3358	0.3962	0.081319	0.049251	0.007568	-0.011694	0.046868	0.03317
403	0.236	1.899	0.127	0.989	82	15	30	3	0.063	1.134	35	0.017	0.003	2.073	4.049	0.09	0.5465	0.1287	1.1455	0.1684	0.414	-0.003049	0.005654	0.000256	-0.001878	-0.003201	-0.000555	0.5372	1.2666	0.4717	0.351	0.5024	0.0905	0.089586	0.132946	0.124395	-0.145306	0.0922	-0.146806
404	0.162	0.804	0.085	0.423	45	5	11	0	0.038	0.27	12	0.016	0.001	0.327	1.727	0.1037	0.2897	0.1811	0.3929	0.2034	0.2064	-0.00135	0.008456	0.000928	0.001498	0.002394	-0.005494	0.1132	0.8928	0.2831	0.4073	0.2386	0.5652	-0.059404	-0.066556	0.043236	0.001564	-0.055934	-0.012588
405	0.197	0.596	0.108	0.321	84	3	13	0	0.054	0.195	31	0.014	-0.002	0.284	1.467	0.0865	0.1325	0.0908	0.2221	0.0884	0.2543	0.001546	0.005478	-0.000877	-0.000971	-0.002092	-0.002281	0.0779	0.5797	0.0218	0.2568	0.0952	0.4707	-0.098062	-0.039576	-0.132272	-0.03011	-0.140301	-0.051497
406	0.406	2.09	0.195	0.934	147	48	66	9	0.099	0.742	64	0.03	-0.01	1.195	3.743	0.2059	0.6426	0.3285	0.9865	0.2562	0.5203	0.006974	0.000165	0.004078	0.002502	0.006186	-0.000317	0.6038	0.8231	0.3081	0.881	0.4293	0.3558	-0.268511	0.023138	-0.145489	-0.401954	-0.341029	0.02011
407	0.341	2.104	0.199	1.051	162	26	71	4	0.114	1.048	93	0.027	0	1.757	4.566	0.117	0.9833	0.1763	1.0225	0.167	0.3919	0.000151	-0.000544	-0.001097	0.007218	-0.000511	0.001551	0.082	0.9454	0.2873	1.9006	0.3174	0.29	0.002525	-0.363408	-0.044557	0.307098	0.001187	-0.006306
408	0.179	0.784	0.104	0.543	62	10	27	2	0.047	0.359	26	0.02	0.013	0.655	3.917	0.2141	0.4134	0.0792	0.3831	0.1835	0.1821	-0.00172	-0.010513	0.001374	0.007454	-0.001428	0.000135	0.0003	0.5532	0.2646	1.213	0.1142	0.1417	-0.22414	-0.197732	0.030013	0.190715	-0.072808	0.01861
409	0.332	1.085	0.196	0.531	146	27	97	1	0.11	0.41	94	0.022	-0.002	0.502	1.208	0.1657	0.5734	0.097	0.2977	0.1093	0.3514	-0.002429	0.002748	-0.000701	0.000707	-0.000798	0.000242	0.2251	0.193	0.1387	0.605	0.1768	0.2233	-0.023869	-0.158581	0.005819	0.18177	-0.023711	-0.105746
410	0.148	0.436	0.071	0.236	42	0	1	0	0.031	0.154	8	0.017	0.006	0.295	4.438	0.0584	0.1987	0.0793	0.1649	0.0898	0.1183	-0.000272	0.013029	-0.00675	-0.012679	-0.006538	-0.005451	0.0547	1.6093	0.7151	0.94	0.6269	0.6789	-0.135537	0.108696	-0.059772	-0.172183	-0.103601	0.055277
411	0.247	1.134	0.153	0.619	121	10	38	2	0.054	0.315	27	0.019	-0.001	0.6	0.791	0.067	0.3002	0.1466	0.3102	0.0967	0.5564	-0.000882	-0.000134	-0.001632	-0.002033	-0.001527	0.000285	0.0544	0.094	0.2607	0.3492	0.1407	0.2415	-0.051453	-0.054066	0.037056	0.039047	-0.044264	-0.063367
413	0.218	0.552	0.125	0.314	104	2	15	0	0.054	0.141	19	0.016	-0.006	0.251	2.413	0.0599	0.1721	0.0458	0.2161	0.0355	0.2303	-0.002792	0.008112	0.001591	-0.004285	0.000063	-0.003922	0.5915	0.5564	0.047	0.6253	0.1018	0.5296	0.092419	-0.122974	-0.055726	0.059382	0.00737	0.080898
414	0.294	1.673	0.177	1.15	112	32	53	10	0.066	0.45	38	0.019	-0.002	0.462	1.544	0.1378	0.445	0.16	0.7068	0.2077	0.367	0.001102	0.003992	-0.001425	0.00119	-0.001616	-0.00341	0.2764	0.5528	0.534	0.4541	0.6599	0.4682	-0.012525	0.058195	0.135816	0.01301	0.147372	-0.077997
415	0.357	5.3	0.196	2.602	177	21	67	2	0.072	0.547	48	0.029	-0.023	1.911	7.039	0.4782	2.9302	0.1667	1.7254	0.2907	0.718	-0.005361	0.010535	-0.00053	-0.003932	-0.002584	-0.003584	1.1729	1.2413	0.2805	1.2911	0.5028	1.1341	0.303504	-0.796881	0.069472	0.182735	0.117867	0.174568
416	0.106	0.292	0.065	0.172	16	0	0	0	0.032	0.107	2	0.009	-0.001	0.198	0.603	0.0332	0.1057	0.0565	0.1432	0.051	0.1246	-0.000435	-0.002098	-0.000302	-0.000274	-0.000622	0.000116	0.0882	0.3338	0.0563	0.0885	0.0499	0.0208	0.009955	0.010436	0.002679	0.007851	-0.013706	-0.048742
417	0.043	0.276	0.023	0.136	2	0	0	0	0.01	0.055	0	0.004	-0.002	0.116	0.608	0.0267	0.065	0.0852	0.0505	0.0257	0.1008	-0.001509	-0.000583	-0.00007	0.00119	-0.000281	0.000134	0.232	0.1563	0.0888	0.0894	0.0628	0.0732	0.019761	-0.013004	0.02871	-0.012604	0.008099	0.003283
420	0.153	0.915	0.092	0.355	28	2	3	0	0.058	0.387	23	0.015	-0.003	0.826	1.385	0.0735	0.3129	0.0376	0.3428	0.0454	0.2428	-0.000996	0.004132	0.001959	-0.00092	0.00008	0.001188	0.1387	0.2377	0.2403	0.468	0.1384	-0.0004	0.051509	-0.263619	0.055405	0.338543	0.074031	-0.150802
421	0.211	0.821	0.133	0.544	80	10	35	3	0.067	0.332	43	0.013	-0.002	0.412	0.898	0.0315	0.1872	0.036	0.2315	0.0411	0.5045	-0.001455	-0.00026	0.000549	0.003516	-0.00087	-0.001635	0.1319	0.215	0.1023	0.2456	0.1842	0.3334	-0.02571	0.050882	0.005967	-0.115218	0.001822	-0.044741
422	0.088	0.846	0.052	0.494	10	2	4	0	0.027	0.205	7	0.007	0.002	0.333	1.112	0.041	0.1865	0.0688	0.3869	0.0362	0.3758	0.001552	0.004251	-0.001907	0.002146	0.000596	-0.001347	0.0919	0.5429	0.1366	0.3061	0.0579	0.2053	-0.045669	0.021811	-0.046028	-0.015633	-0.00418	0.020371
423	0.094	0.81	0.051	0.474	17	1	2	0	0.021	0.187	4	0.008	0	0.239	1.025	0.0719	0.1218	0.0345	0.2179	0.0702	0.4295	-0.001395	0.002622	0.000146	0.00186	-0.001583	-0.001235	0.4047	0.2647	0.1024	0.4187	0.4452	0.2945	0.122266	0.019814	0.037485	0.084247	0.142192	0.025445
427	0.076	0.447	0.039	0.172	9	0	0	0	0.013	0.163	1	0.008	0.005	0.427	1.756	0.0543	0.1587	0.026	0.1772	0.0595	0.0927	0.000704	0.004726	-0.000678	-0.002203	0.000566	-0.000977	0.1494	0.7546	0.0505	0.1667	0.0387	0.1346	0.032586	0.085832	-0.008751	-0.049341	-0.017895	-0.007645
428	0.159	0.575	0.08	0.328	55	4	3	0	0.023	0.114	2	0.016	-0.001	0.255	1.326	0.1267	0.2181	0.093	0.1876	0.0998	0.2236	0.001576	-0.001066	0.000287	-0.001881	0.001399	-0.000845	0.5189	0.3526	0.3739	0.5021	0.4346	0.2316	0.148654	0.030116	0.11064	0.135022	0.134304	0.058778
429	0.177	0.691	0.087	0.364	60	6	13	0	0.037	0.293	15	0.02	-0.013	0.635	3.82	0.1532	0.3754	0.0981	0.296	0.1124	0.1153	0.004867	0.005689	0.004933	0.000705	0.003603	-0.002047	0.4186	0.088	0.2275	0.8188	0.2257	0.538	-0.148378	-0.451386	-0.122104	0.228426	-0.131654	0.150417
430	0.129	1.115	0.058	0.494	33	5	7	0	0.032	0.312	15	0.016	-0.001	1.013	2.311	0.0649	0.5514	0.082	0.3169	0.0976	0.1892	-0.000097	0.004889	0.00272	-0.003214	0.002919	-0.00199	0.2175	0.76	0.1151	0.6292	0.1404	0.4563	0.032466	-0.0876	-0.048036	0.005723	-0.04949	0.027862
431	0.072	0.293	0.04	0.154	5	0	0	0	0.018	0.106	2	0.008	-0.002	0.13	2.033	0.0328	0.0719	0.071	0.1064	0.0397	0.1755	-0.003137	0.002548	-0.009011	-0.000614	-0.003332	-0.000467	0.4726	0.5968	1.082	0.004	0.4767	0.0818	0.021184	0.152506	0.002536	-0.281885	0.027117	-0.004187
504	0.46	1.461	0.248	0.877	181	76	125	10	0.111	0.447	80	0.038	0.009	0.634	3.304	0.1214	0.3144	0.1932	0.6715	0.1118	0.6357	0.000673	0.006751	0.002423	0.001489	0.001208	-0.000858	0.5585	1.5295	0.4563	0.4246	0.3861	0.2189	0.105809	0.331372	0.073017	-0.398934	0.002114	-0.203526
506	0.138	1.129	0.07	0.498	23	2	3	0	0.039	0.489	7	0.01	-0.007	0.946	2.027	0.0539	0.2647	0.1836	0.5311	0.0419	0.177	-0.001034	0.004003	-0.002549	-0.003899	-0.001486	-0.001104	0.1298	0.2656	0.3826	0.8822	0.1345	0.2881	-0.00755	-0.084955	0.017466	0.216562	-0.030312	0.104248
507	0.276	0.923	0.152	0.445	116	18	54	0	0.079	0.301	57	0.02	-0.03	0.556	6.997	0.1878	0.268	0.1549	0.2961	0.1003	0.3716	0.004829	0.013379	-0.003852	-0.013259	0.002094	-0.006096	0.0351	0.1827	0.2799	2.272	0.0584	1.2634	-0.229031	-0.424757	-0.068673	0.206237	-0.103392	0.269731
509	0.355	1.079	0.198	0.608	144	49	75	8	0.111	0.481	74	0.03	0	0.583	1.761	0.161	0.3155	0.1274	0.6031	0.1157	0.3443	-0.000436	0.002812	-0.000913	0.000367	-0.001089	-0.000183	0.6471	0.298	0.2667	0.0859	0.5827	0.2276	0.251626	-0.102989	0.091317	-0.412904	0.246508	-0.008414
510	0.131	0.661	0.072	0.484	36	5	15	0	0.025	0.274	6	0.015	0.004	0.543	1.921	0.0782	0.3182	0.1668	0.373	0.1818	0.176	-0.002637	0.000097	-0.000135	0.002119	-0.001714	0.000984	0.1619	0.1315	0.0295	0.737	0.0387	0.2972	-0.037149	-0.12518	-0.159483	0.136193	-0.181317	0.046412
512	0.142	0.538	0.081	0.292	30	1	5	0	0.043	0.225	16	0.018	-0.019	0.308	6.362	0.0731	0.2302	0.1114	0.1966	0.0419	0.2453	0.011218	0.020758	0.002262	0.007691	0.002003	-0.011433	0.5296	0.8611	1.0086	1.2856	0.5001	1.377	-0.340139	-0.542363	0.267015	0.014674	0.096104	0.021425
513	0.135	1.855	0.072	1.015	22	9	10	2	0.037	0.502	11	0.014	-0.005	1.74	2.341	0.0594	1.0888	0.0793	0.6573	0.0556	0.19	-0.003357	0.003629	-0.001623	-0.001248	-0.002071	-0.001812	0.3905	0.9405	0.1893	0.2969	0.2766	0.2439	-0.008354	-0.008214	-0.00849	-0.08011	-0.005924	-0.002391
514	0.114	0.237	0.064	0.14	2	0	0	0	0.024	0.102	1	0.013	0	0.171	1.493	0.0267	0.076	0.061	0.1361	0.0266	0.0425	0.004898	0.004193	0.003104	0.0012	0.004188	-0.001093	0.5723	0.2701	0.4605	0.4285	0.4656	0.2078	0.005888	-0.071695	-0.016833	0.10589	-0.01195	0.049303
515	0.228	1.55	0.124	0.947	94	7	16	2	0.049	0.599	17	0.025	-0.015	1.577	3.609	0.1484	0.7849	0.131	0.1707	0.1363	0.5938	-0.000522	0.010486	-0.00155	-0.003776	-0.003925	-0.004132	0.3214	0.3463	0.2701	0.7039	0.7785	0.8072	0.074824	-0.326696	0.076365	0.116069	0.154887	0.138955
517	0.32	1.387	0.173	0.557	147	29	63	1	0.102	0.526	74	0.022	-0.01	0.689	2.525	0.1585	0.2636	0.1365	0.434	0.1101	0.5066	0.000091	-0.005346	0.00066	0.00439	-0.000772	-0.0007	0.1263	1.1021	0.1806	0.5276	0.1744	0.3279	0.036414	0.192214	0.027984	-0.049236	0.023102	-0.005392
518	0.102	0.544	0.054	0.324	9	1	1	0	0.019	0.092	0	0.011	-0.01	0.211	2.961	0.042	0.0993	0.0347	0.1856	0.0654	0.2699	-0.002917	0.007345	-0.003864	-0.004989	-0.003236	-0.001756	0.3486	0.3323	0.3174	0.9155	0.3851	0.3297	-0.020655	-0.234988	-0.020992	0.184806	-0.003514	0.057479
519	0.148	1.015	0.08	0.581	26	11	19	2	0.046	0.285	24	0.017	-0.002	0.896	1.137	0.2032	0.5695	0.0885	0.3308	0.0775	0.2413	-0.000955	-0.001345	0.002013	-0.00048	0.000244	0.000632	0.31	0.5097	0.1089	0.1526	0.0829	0.2863	0.051	0.124334	-0.030261	-0.127141	0.007347	0.063391
520	0.096	0.27	0.052	0.149	7	0	0	0	0.016	0.069	0	0.007	0.002	0.115	1.014	0.0263	0.0658	0.0586	0.08	0.0535	0.1218	-0.002727	0.000702	-0.002459	-0.001322	-0.002619	-0.000812	0.2141	0.0846	0.2027	0.1558	0.195	0.1271	-0.006784	-0.032887	-0.014965	-0.019734	-0.02466	0.008681
522	0.104	0.301	0.058	0.204	10	0	1	0	0.024	0.103	1	0.008	0	0.22	0.91	0.0272	0.082	0.0298	0.1327	0.0262	0.1607	-0.000139	0.002682	-0.000899	-0.001248	-0.001829	-0.000201	0.0641	0.3564	0.1328	0.2886	0.2911	0.0499	0.007272	0.00095	0.018211	0.030139	0.054824	-0.028952
524	0.108	0.427	0.058	0.212	24	0	2	0	0.035	0.216	15	0.008	0.001	0.248	1.807	0.084	0.1486	0.0749	0.2154	0.0547	0.1559	-0.001391	0.001635	-0.003169	0.010673	-0.001533	0.002877	0.1686	0.4078	0.3973	1.2202	0.2416	0.396	-0.011284	0.098144	0.049195	-0.025148	0.038156	0.013364
525	0.193	1.756	0.107	1.046	76	5	21	1	0.047	0.401	20	0.015	0.005	0.317	2.205	0.1345	0.3621	0.0893	1.1656	0.1811	0.3061	-0.00356	0.003796	0.002388	-0.001691	-0.000853	-0.003518	0.4091	0.8508	0.403	0.7715	0.1923	0.2875	-0.005855	0.165551	0.081771	-0.077358	0.02755	-0.086169
526	0.276	0.612	0.17	0.371	143	12	61	0	0.051	0.205	19	0.016	-0.008	0.617	2.117	0.0366	0.2132	0.0699	0.2995	0.0459	0.3152	-0.001995	-0.004157	0.000299	0.004758	-0.001067	0.001553	0.2389	0.8981	0.1043	0.4471	0.1001	0.1694	0.049908	0.107197	0.010309	0.028743	-0.009296	-0.072857
528	0.109	0.662	0.05	0.281	13	1	2	0	0.021	0.13	1	0.009	-0.002	0.399	1.453	0.0582	0.2608	0.0933	0.2711	0.1115	0.1516	0.003977	0.001443	0.003395	-0.000727	0.004763	0.001183	0.3648	0.2595	0.4103	0.3004	0.3726	0.1899	-0.011501	0.004194	0.013556	0.077213	-0.037934	0.028911
529	0.079	0.875	0.045	0.608	5	2	3	1	0.019	0.206	3	0.007	0.002	0.297	1.32	0.0614	0.098	0.0429	0.2096	0.0266	0.5796	-0.002728	-0.003828	-0.00001	0.001037	-0.000732	0.000965	0.2063	0.2567	0.0507	0.2158	0.0955	0.435	-0.00617	-0.027438	0.006222	-0.010347	0.009501	0.011945
530	0.204	0.969	0.108	0.493	81	6	17	0	0.061	0.467	34	0.017	-0.012	0.99	3.431	0.0911	0.3279	0.2589	0.51	0.1442	0.3975	-0.000033	0.009921	-0.003636	-0.005961	-0.001377	-0.000417	0.1231	0.5768	0.6037	1.0925	0.3494	0.252	0.011333	-0.119571	0.055292	0.099299	0.03611	0.000581
532	0.332	1.615	0.18	0.759	152	27	66	2	0.065	0.555	41	0.047	-0.02	1.626	4.81	0.3483	0.793	0.2703	0.4687	0.14	0.3832	0.000229	0.012105	0.000656	-0.001202	0.001524	-0.00617	0.5042	1.149	0.3149	0.4384	0.1317	1.199	-0.002117	-0.646066	0.047291	-0.082555	-0.133654	0.193474
old_001	0.277	2.003	0.158	1.431	72	16	27	8	0.069	1.092	15	0.023	0.003	0.892	1.87	0.2087	0.439	0.1283	1.2976	0.1124	0.3932	0.00033	-0.008509	0.002408	0.000354	0.000677	0.001484	0.2943	0.723	0.5141	1.2943	0.2794	0.4939	0.04113	-0.006408	0.130739	0.019317	0.064479	0.022802
old_002	0.142	0.668	0.082	0.322	33	2	8	0	0.029	0.121	3	0.018	-0.004	0.303	1.22	0.099	0.2303	0.064	0.256	0.0702	0.2595	0.00469	-0.001311	0.001178	0.002454	0.001081	-0.001138	0.2003	0.3018	0.0347	0.1761	0.0792	0.2392	-0.075662	-0.006558	-0.062286	-0.077599	-0.034307	0.010453
old_003	0.12	0.384	0.068	0.219	13	0	1	0	0.029	0.13	4	0.01	-0.001	0.173	0.792	0.05	0.1448	0.0614	0.122	0.0387	0.1986	0.00195	0.003105	0.001235	-0.001205	0.002464	0.001169	0.1833	0.2203	-0.0001	0.0886	0.1196	0.1585	-0.015628	-0.000321	-0.110011	-0.113321	-0.052107	0.008156
old_004	0.138	0.51	0.084	0.384	25	1	5	0	0.035	0.202	2	0.011	0.002	0.221	0.754	0.0591	0.2035	0.0509	0.1339	0.0416	0.3294	0.000757	-0.004197	0.001664	0.000228	0.000917	0.000421	0.1439	0.311	0.253	0.1208	0.1369	0.0923	-0.008476	-0.002368	0.044986	0.022619	0.022145	-0.031399
old_005	0.156	0.961	0.099	0.666	34	6	21	3	0.039	0.418	15	0.018	-0.006	0.688	2.157	0.0664	0.4071	0.0586	0.3859	0.0601	0.2579	0.001153	0.00259	0.002665	-0.002859	0.002793	-0.000504	0.0921	0.5475	0.1852	0.6677	0.146	0.1334	-0.032137	-0.149157	-0.00574	0.279577	-0.030587	0.003045
old_006	0.093	0.397	0.053	0.252	9	0	1	0	0.029	0.117	2	0.005	-0.001	0.16	0.41	0.0311	0.0576	0.0377	0.1566	0.051	0.1746	0.000597	-0.000372	0.001384	-0.000605	0.000786	0.000009	0.0561	0.0645	0.1174	0.2459	0.0487	0.1028	-0.000174	0.018956	-0.000803	0.091992	-0.018684	0.003617
old_007	0.081	0.297	0.053	0.19	3	0	0	0	0.029	0.127	3	0.007	0.002	0.153	0.655	0.0202	0.1577	0.0335	0.0926	0.0421	0.1008	-0.000932	-0.002343	0.000647	-0.000426	-0.000014	0.000076	0.134	0.1765	0.0322	0.0631	0.055	0.1636	0.031955	-0.012888	-0.002006	-0.055988	0.012975	0.050271
old_008	0.107	0.385	0.066	0.242	15	0	5	0	0.027	0.105	1	0.008	0	0.191	0.483	0.0414	0.1126	0.0705	0.1264	0.0678	0.2051	-0.000823	0.001065	-0.000431	-0.001977	-0.000645	0.000699	0.104	0.1793	0.1185	0.157	0.0879	0.1184	0.006362	0.011223	0.02046	-0.007395	0.008539	-0.0006
old_009	0.252	1.441	0.139	0.989	79	7	27	3	0.065	0.359	34	0.017	-0.003	0.473	1.267	0.0813	0.5696	0.1913	0.4698	0.1672	0.4911	0.001262	-0.003135	0.000155	0.003125	0.003034	0.00039	0.2575	0.6389	0.0725	0.311	0.2531	0.2628	0.026768	0.216313	-0.061559	0.028671	0.005351	-0.086388
old_010	0.071	1.519	0.037	0.696	3	2	2	1	0.023	0.715	3	0.007	0.001	1.432	1.592	0.0987	0.5654	0.0332	0.7467	0.0494	0.1251	-0.000218	-0.000377	-0.000545	-0.000751	-0.001174	0.000131	0.0113	0.0721	0.0718	0.7534	0.0638	0.1875	-0.090518	-0.056689	0.019927	0.046471	-0.015069	0.058942
old_011	0.297	0.842	0.187	0.457	113	10	64	0	0.039	0.179	6	0.018	-0.002	0.336	0.858	0.075	0.1807	0.0743	0.2159	0.073	0.3381	0.00232	-0.001442	0.002803	-0.001598	0.002565	-0.000889	0.1742	0.1489	0.2036	0.2839	0.1597	0.2067	-0.03025	-0.030514	-0.032947	0.009452	-0.056704	0.024527
old_012	0.288	1.362	0.139	0.529	85	23	30	2	0.073	0.485	34	0.031	-0.01	1.213	3.775	0.36	0.3797	0.2429	0.4534	0.3847	0.2404	-0.002089	0.006879	-0.003413	0.001631	-0.000187	-0.001703	0.6983	0.1093	0.5668	1.677	1.0527	0.408	0.152779	-0.255697	0.139273	0.366157	0.173944	0.103223
