1028,504,426,682,732,434,528,374,490,404,498,290,264,434,332,462,588,412,848,604,736,500,528,390,604,452,316,530,520,300,484,540,522,618,626,668,252,590,534,498,556,652,590,556,320,366,398,256,314,546,202,376,414,170,352,514,146,468,270,256,314,216,426,380,228,356,180,368,632,778,472,686,492,1020,758,550,774,686,564,582,502
7.8117,6.6912,7.5024,7.8247,5.327,6.9534,7.3151,6.983,3.5795,4.6311,6.9459,6.1705,6.1892,6.9792,7.3633,7.1677,6.5906,6.9356,6.5988,6.5631,7.3208,7.6299,6.7835,7.3549,5.9354,4.8395,6.6762,6.962,7.2915,6.3291,6.9834,6.7241,6.5366,6.5469,6.0765,6.9562,6.5345,8.015,5.3825,6.9546,5.8087,6.1079,5.6631,7.2945,6.1847,6.6933,5.3545,5.9598,5.7063,6.4181,5.1311,3.8989,4.9199,4.1861,5.6118,7.0694,6.0387,5.0166,6.3635,3.8174,7.935,4.8984,6.06,3.4324,5.5801,4.8284,6.0527,4.0131,7.1279,6.4809,7.8564,6.7636,7.1725,7.4388,7.0333,6.6297,7.6856,6.8883,6.8431,6.1503,6.9634
4424,4706.6,4677.5,4790.3,4911,4061.9,4621.3,6325.2,2652.3,2943.6,5180.5,1523.3,3640.5,4353,4384.1,3331.3,6356.6,3838.9,2254.9,3839.1,5474.7,3698,2841.4,3365.9,2710.1,4973.1,3258.6,4749.8,4942,3424.7,4177.3,4445.5,4975.1,5889,3455.5,4431.7,3139.3,4586.1,4111.3,4294.3,4096.8,2805.5,3647.5,4935,2499.9,4531.2,2882.6,3097,4326.2,3747.2,3629.7,2691.5,3414.8,2736,3415.5,3461,2704,3494.5,2839.9,4806.7,4132.7,3109.6,3839.9,3817.4,3830.4,3128.1,4622,3082.1,3241.3,6773.1,6465.3,5843.2,5107.5,4570.5,4641.7,6043.6,6229.9,4439,4660.9,2878.2,5213.4
42,30,22,34,32,14,26,16,20,4,16,10,12,16,20,24,38,4,32,18,38,22,12,0,16,38,10,28,20,20,22,22,14,30,52,32,10,16,26,36,12,28,8,10,6,22,2,4,14,16,2,10,12,8,6,16,6,4,0,0,16,8,28,18,2,8,0,12,26,34,16,20,20,14,2,14,46,36,36,24,22
5414.4,6111.6,5998.2,5311.5,6640.9,5439.7,5692.9,7967.9,3268.4,3873.6,6455.9,2044.6,4083.1,6025.6,5484.5,4337.5,7990.4,5138.6,2720.8,5014.1,7504,4452,4057.2,4151.6,3886.8,5928.5,4123,6683.3,6245.6,4165.8,5463.3,5412.3,6026.9,7644.1,4371.5,6265.6,4458.3,5619.3,5058.1,5166,5429.5,3642,4720.9,6179,3385.5,5677.6,3843,4757.5,5975.8,4822.2,4617,3564.6,4327.5,3645.8,4316.3,4522.1,3110,4259.5,4074.7,6348.7,5829.4,3701.9,4630.1,5266.1,4283.1,4304.5,5229.9,3885.5,3842.1,9060.1,8458.2,6382.4,6519.3,6077.1,5635,7288.1,7031.2,5635.3,5629.6,3783.2,6268.4
56,24,18,34,28,46,44,16,6,10,18,28,26,22,2,6,56,14,32,50,26,38,16,6,12,36,24,42,42,10,38,6,14,24,66,24,46,22,26,26,24,20,10,12,2,20,2,18,34,14,20,4,0,2,16,6,42,12,8,6,12,0,12,10,4,8,24,12,40,26,16,52,30,58,10,4,44,18,20,22,48
126.71,118.1,121.24,146.27,152.64,129.04,126.03,150.39,143.68,82.887,120.76,96.143,73.453,48.467,112.05,99.64,168.93,114.67,93.182,119.61,157.99,94.949,132.47,76.393,83.029,92.089,87.756,134.5,136.09,131.8,85.659,131.4,111.72,133.82,134.91,74.587,105.69,87.346,109.31,119.74,113.13,107.58,152,96.583,108.5,118.37,72.201,63.152,85.626,107.5,89.097,97.679,64.706,82.056,77.168,88.827,109.98,117.58,97.796,139.5,108.54,112.32,85.058,101.79,100.25,94.564,121.75,105.8,133.6,161.59,134.84,127.56,134.99,148.69,133.03,155.99,125.14,141.71,117.94,115.96,152.43
6811.3,7747.3,7743.5,6665.7,8418.9,6984.7,6562.1,9933.5,4004,4742.8,8382.4,2370.8,4876.8,7937.7,7051.1,5424.9,10001,6359.3,3216,6257.7,9585.9,5065.3,5476.6,5070.5,5246.5,6712.6,4661,8258.2,7427.1,5144.2,6902,6019,7715.6,9692.6,5741,8037.4,5963.2,7161.4,6577.3,5729.6,6743.2,4480.9,6120.1,7926.8,4448.6,7163.2,5060.8,6490.3,6627.5,5999,5759.2,4179.6,5551.3,3749.1,5666.2,5606.2,3903.4,4993.9,5344.5,8174,7633.7,4115,5344.5,6464.7,5343.1,5554.1,5574,5071.8,4388.6,10696,10512,7525.2,7512,7700.2,6747,9176.4,8269.1,7338,7398.9,4405.5,6577.7
20.094,15.981,20.01,21.944,14.875,19.855,20.934,17.154,10.561,13.062,19.685,18.45,18.676,15.549,20.027,17.24,17.901,17.649,18.39,18.058,18.021,20.491,19.012,19.381,17.318,12.057,18.98,17.458,19.904,14.03,18.419,18.553,17.233,18.692,17.471,18.589,18.493,21.165,12.583,18.288,15.018,14.551,14.221,17.073,16.085,13.824,13.143,16.266,15.641,18.454,15.26,11.216,12.132,10.773,15.083,19.864,17.177,15.265,18.676,11.379,21.38,12.506,15.294,8.608,14.698,11.303,16.473,13.077,16.764,15.438,21.264,18.31,20.555,21.043,18.92,18.834,20.225,18.711,19.001,15.487,18.416
28.766,21.279,27.858,31.426,21.182,28.582,30.49,24.536,16.008,18.599,26.289,27.347,27.457,21.382,27.593,23.474,26.158,22.508,25.853,26.115,26.094,29.576,27.668,25.694,24.772,18.242,26.585,24.324,28.39,20.047,24.829,27.06,24.535,27.015,25.267,26.556,26.825,29.616,18.015,26.356,21.071,19.368,19.853,22.454,22.684,18.318,19.489,21.798,21.937,25.569,21.6,17.177,17.278,13.424,20.604,28.15,24.915,22.548,27.619,17.755,30.948,18.117,21.243,13.004,21.874,16.273,20.81,19.299,23.299,21.043,29.684,25.442,28.537,30.361,26.949,26.056,28.266,25.225,27.448,22.064,26.238
513.38,433.96,687.38,415.53,715.94,489.78,508.26,727.71,516.07,619.96,625.91,605.41,601.34,973.31,731.34,480.73,538.09,838.53,937.68,655.02,504.27,498.34,584.07,560.07,880.35,573.07,339.52,636.22,669.8,800.74,625.46,468.01,400.82,517.45,915.75,737.42,584.66,736.3,803.54,1062.9,541.18,843.38,627.35,522.19,747.14,613.89,824.6,1088.2,831.48,958.03,668.65,760.97,769.03,728.01,726.3,664.33,927.54,810.16,1088.1,740.6,870.87,593.86,1432.3,667.34,1149.1,577.1,965.31,896.27,490.35,548.83,594.95,612.36,854.28,535.03,643.55,628.92,512.16,661.85,506.96,884.08,581.92
36,30,46,38,58,34,48,18,172,42,48,60,144,60,62,26,64,54,110,70,118,20,20,90,14,134,42,82,28,54,26,104,102,80,60,30,38,28,78,118,104,84,112,162,56,182,76,128,62,86,118,74,102,70,120,84,172,178,82,98,112,82,110,56,90,100,92,90,26,100,78,126,8,100,114,52,8,66,28,58,18
2146,1190,1034,1684,1686,1108,1282,1046,1242,1114,1540,1068,1192,1154,906,1372,1438,1272,1782,1492,1412,1522,1132,972,1316,1408,922,1200,1178,834,1078,1352,1424,1446,1528,1520,872,1600,1466,1426,1724,1464,1418,1574,868,934,1082,816,950,1438,680,1012,1142,720,1176,1448,868,1310,934,916,914,708,1270,1152,724,1024,678,1080,1520,1808,1246,1406,1416,2332,1698,1316,1554,1706,1328,1472,1458
2.8168,3.3146,3.1604,2.9639,3.4703,3.1018,2.9951,3.3446,3.187,3.3268,3.1981,3.4195,3.585,3.6722,2.8864,3.1713,3.0074,3.2532,3.2512,3.0312,3.4825,2.7365,3.2176,2.9696,3.4909,2.911,3.1895,2.6157,3.1112,3.47,2.6176,2.9521,3.2436,3.2998,3.2353,2.9722,3.6156,3.1226,3.2405,3.205,3.4383,3.3779,3.2069,2.9735,3.2965,3.217,3.708,3.392,3.4267,3.7851,3.6069,3.4827,3.478,3.4615,3.5985,2.5183,3.4392,3.1119,3.7434,3.8667,3.7078,3.0971,3.505,3.5012,3.5879,3.635,3.0466,3.6953,3.4306,3.2791,2.8687,3.4375,3.1645,3.3215,3.3101,3.539,2.8738,3.2188,2.757,2.9636,3.1456
92.908,77.919,100.2,100.96,135.53,155.29,114.31,140.52,134.58,141.62,152.36,144.74,210.09,131.49,91.748,111.37,134.87,160.89,70.564,127.84,135.57,121.29,95.387,95.736,140.43,70.773,152.94,91.135,95.627,159.44,95.799,173.1,99.421,133.37,156.85,62.258,97.344,109.27,125.84,155.54,110.66,160.05,103.92,83.453,107.05,194.74,131.24,159.16,84.697,145.62,217.92,219.48,81.849,121.81,96.965,144.72,193.26,171.01,180.7,184.79,100.79,121.41,201.73,136.52,168.85,178.5,118.01,152.97,96.252,109.18,84.642,91.906,118.8,100.75,122.85,101.32,138.83,112.08,104.96,117.78,130.43
4896.4,4038.5,4108,2981.8,5939.5,4723.2,3905,4576.8,3956.8,3072.5,3389.1,2105.7,3851,4394.7,3795.1,3808.6,5220.2,3925.4,2811.2,3672.5,4933.4,2008,3824.3,3351,4390,4620.8,2932.1,5640.4,4974.8,3875.8,3643.3,5184.4,3745.4,3975.9,3475.9,5689,4116.2,5026.8,2361.1,4187.3,4724.9,3671.3,4059.4,4151.9,2839.6,4380.4,3381.9,2996,5334,3429.6,3246.8,3633.6,2614.1,3450.3,3386.4,3272.8,4561.1,4604.7,4299.2,4292.9,3508.3,3896.8,4238.1,3625.5,2716.7,2840.7,5449.1,3967.3,3435.5,6728.2,4780.6,7989.7,7596.1,4976.7,6475.5,6161.3,5254.5,6620.1,4269.1,4235.8,5115
7116.4,8539.6,7846.9,6873.1,9467.8,7499.5,6999.1,10793,4370.9,4957.9,8674.1,2463,5417.7,8855.8,7793.4,5517.5,10144,7142.2,3232.8,6849.6,10216,5485.3,6331.8,5433.7,6282.5,7007.9,4558.4,8891.7,7861.1,5798.8,7667,5733.8,8377.8,10311,6639.3,9216.3,6803.7,8322.3,7076.9,5578.6,7075.6,5035.1,6595,8749,4743.2,7590.6,6086,7833.5,6355.6,5840.2,6885.3,4582,6230.3,3483.7,6657,5698.9,4357.6,5146.2,6467.5,9142.1,9228.9,4514.3,5440.5,6775.5,5718.8,5777.7,5426.4,5589.7,4544,11034,11041,7537.5,7186,8989.4,7224.9,10095,8226.7,7807.2,8468.9,4551.6,6489.6
10,20,12,18,2,2,20,28,14,4,0,2,4,10,18,6,4,30,6,6,12,18,4,14,16,12,4,20,30,8,32,20,2,14,16,10,6,26,12,12,8,16,2,10,4,4,4,10,14,10,0,4,4,2,6,10,6,12,6,12,8,18,6,2,18,2,4,6,16,18,32,20,6,32,14,12,14,50,20,16,32
